Little Grebe,20,21
Whiskered Tern,1,21
Edible-nest Swiftlet,9,21
Common Sandpiper,3,21
Yellow-bellied Prinia,2,21
Yellow-vented Bulbul,2,21
Greater Coucal,2,21
Barn Swallow,6,21
Little Egret,24,22
Sunda Pied Fantail,1,22
Whiskered Tern,2,22
Black-winged Stilt,6,22
Little Cormorant,1,22
Red Turtle-dove,4,22
Ashy Tailorbird,1,22
Scaly-breasted Munia,8,22
Grey Heron,1,22
Pink-necked Green-pigeon,2,22
Sunda Pied Fantail,3,23
Little Cormorant,2,23
Whiskered Tern,1,23
Little Egret,37,23
Common Greenshank,75,23
Spotted Redshank,40,23
Black-winged Stilt,22,23
Scaly-breasted Munia,4,23
Oriental Pratincole,2,23
Pacific Golden Plover,1,23
